"ROI.name"	"Stage"	"Cell"	"ROI.id"	"point"	"x"	"y"
"Stage5.Stele"	"Stage5"	"Stele"	111	12	1090.11130431942	-526.635806096527
"Stage5.Stele"	"Stage5"	"Stele"	111	13	1085.91196117548	-527.017564564158
"Stage5.Stele"	"Stage5"	"Stele"	111	14	1080.89352440781	-524.439553885619
"Stage5.Stele"	"Stage5"	"Stele"	111	15	1074.38211763427	-520.64123326772
"Stage5.Stele"	"Stage5"	"Stele"	112	1	1071.23543980769	-536.960751328146
"Stage5.Stele"	"Stage5"	"Stele"	112	2	1069.89240838339	-532.260141343094
"Stage5.Stele"	"Stage5"	"Stele"	112	3	1069.30483213526	-527.643470822061
"Stage5.Stele"	"Stage5"	"Stele"	112	4	1069.13695320722	-521.683768876727
"Stage5.Stele"	"Stage5"	"Stele"	112	5	1069.55665052731	-518.158311387938
"Stage5.Stele"	"Stage5"	"Stele"	112	6	1074.8448367605	-521.767708340746
"Stage5.Stele"	"Stage5"	"Stele"	112	7	1080.72059924181	-525.041347437479
"Stage5.Stele"	"Stage5"	"Stele"	112	8	1085.75696708294	-527.643470822061
"Stage5.Stele"	"Stage5"	"Stele"	112	9	1088.02333261145	-527.307712965986
"Stage5.Stele"	"Stage5"	"Stele"	112	10	1086.59636172313	-532.595899199169
"Stage5.Stele"	"Stage5"	"Stele"	112	11	1084.83363297873	-538.471661680484
"Stage5.Stele"	"Stage5"	"Stele"	112	12	1083.65848048247	-542.416816489366
"Stage5.Stele"	"Stage5"	"Stele"	112	13	1078.45423371331	-540.905906137028
"Stage5.Stele"	"Stage5"	"Stele"	112	14	1074.59301836844	-539.562874712728
"Stage5.Stele"	"Stage5"	"Stele"	113	1	1088.39106034211	-527.283561653271
"Stage5.Stele"	"Stage5"	"Stele"	113	2	1095.01267764537	-526.448402714121
"Stage5.Stele"	"Stage5"	"Stele"	113	3	1097.10057499325	-526.448402714121
"Stage5.Stele"	"Stage5"	"Stele"	113	4	1100.44121074985	-528.834571111692
"Stage5.Stele"	"Stage5"	"Stele"	113	5	1103.84150071638	-531.161085299324
"Stage5.Stele"	"Stage5"	"Stele"	113	6	1105.03458491517	-533.547253696895
"Stage5.Stele"	"Stage5"	"Stele"	113	7	1102.37666564579	-539.94890610039
"Stage5.Stele"	"Stage5"	"Stele"	113	8	1098.83938413921	-545.083669577676
"Stage5.Stele"	"Stage5"	"Stele"	113	9	1097.35600802355	-548.278633519098
"Stage5.Stele"	"Stage5"	"Stele"	113	10	1095.30210263264	-549.762009634759
