"ROI.name"	"Zone"	"Layer"	"ROI.id"	"point"	"x"	"y"
"RZ.L3"	"RZ"	"L3"	31	1	732.241391822762	-704.561057890121
"RZ.L3"	"RZ"	"L3"	31	2	714.21698833174	-678.811910045805
"RZ.L3"	"RZ"	"L3"	31	3	738.073546085507	-605.974473405055
"RZ.L3"	"RZ"	"L3"	31	4	777.703267889643	-606.695013801494
"RZ.L3"	"RZ"	"L3"	31	5	794.756057272028	-702.767066660005
"RZ.L3"	"RZ"	"L3"	32	1	779.454363583331	-607.576521625084
"RZ.L3"	"RZ"	"L3"	32	2	825.873926739938	-616.717053366347
"RZ.L3"	"RZ"	"L3"	32	3	851.503260837987	-646.289361941019
"RZ.L3"	"RZ"	"L3"	32	4	841.466598533856	-697.18957791197
"RZ.L3"	"RZ"	"L3"	32	5	821.878996460017	-712.568716858208
"RZ.L3"	"RZ"	"L3"	32	6	797.603204449636	-702.547898498479
"RZ.L3"	"RZ"	"L3"	33	1	842.758483378382	-696.886680867073
"RZ.L3"	"RZ"	"L3"	33	2	853.413467213991	-646.656042784917
"RZ.L3"	"RZ"	"L3"	33	3	887.407939451409	-612.915260638823
"RZ.L3"	"RZ"	"L3"	33	4	918.611820684263	-613.930021004119
"RZ.L3"	"RZ"	"L3"	33	5	932.818465798408	-700.692032236933
"RZ.L3"	"RZ"	"L3"	33	6	929.520494611196	-725.299971095362
"RZ.L3"	"RZ"	"L3"	33	7	873.708674519912	-733.925434200379
"RZ.L3"	"RZ"	"L3"	34	1	919.880271140883	-613.676330912795
"RZ.L3"	"RZ"	"L3"	34	2	954.889503743597	-625.853455296348
"RZ.L3"	"RZ"	"L3"	34	3	993.196707533524	-620.779653469868
"RZ.L3"	"RZ"	"L3"	34	4	1004.35907155178	-672.025051917319
"RZ.L3"	"RZ"	"L3"	34	5	974.677330866871	-692.573949314564
"RZ.L3"	"RZ"	"L3"	34	6	935.355366711648	-700.184652054285
"RZ.L3"	"RZ"	"L3"	35	1	1005.91696618957	-671.228023584413
"RZ.L3"	"RZ"	"L3"	35	2	994.363705335924	-620.155544466103
"RZ.L3"	"RZ"	"L3"	35	3	1025.69458222717	-592.545209205692
"RZ.L3"	"RZ"	"L3"	35	4	1089.33542591251	-610.168827457018
"RZ.L3"	"RZ"	"L3"	35	5	1114.98758136722	-665.38949797784
"RZ.L3"	"RZ"	"L3"	35	6	1055.26309729328	-679.880028540041
"RZ.L3"	"RZ"	"L3"	36	1	1028.18057488967	-590.623525670781
"RZ.L3"	"RZ"	"L3"	36	2	1073.25131532974	-555.934292349305
"RZ.L3"	"RZ"	"L3"	36	3	1129.49563236333	-586.186535291313
"RZ.L3"	"RZ"	"L3"	36	4	1090.2886911277	-608.612873572383
"RZ.L3"	"RZ"	"L3"	37	1	1092.45158947816	-609.832071761223
"RZ.L3"	"RZ"	"L3"	37	2	1131.17622739118	-587.402746839639
"RZ.L3"	"RZ"	"L3"	37	3	1156.10218818047	-612.396673260823
"RZ.L3"	"RZ"	"L3"	37	4	1172.10703082171	-637.094195171191
"RZ.L3"	"RZ"	"L3"	37	5	1117.19237855558	-664.728804184274
"RZ.L3"	"RZ"	"L3"	38	1	727.129173215281	-790.114793802472
"RZ.L3"	"RZ"	"L3"	38	2	672.047027893313	-784.669430428623
"RZ.L3"	"RZ"	"L3"	38	3	669.766168590523	-752.611093379189
"RZ.L3"	"RZ"	"L3"	38	4	731.842392621054	-706.027125416386
"RZ.L3"	"RZ"	"L3"	38	5	796.751699046169	-704.138569286539
"RZ.L3"	"RZ"	"L3"	38	6	821.372682122894	-714.725551508206
"RZ.L3"	"RZ"	"L3"	38	7	825.126196844498	-766.15788339954
"RZ.L3"	"RZ"	"L3"	38	8	777.744420234023	-814.47405760238
"RZ.L3"	"RZ"	"L3"	39	1	824.073422264471	-714.584150867249
"RZ.L3"	"RZ"	"L3"	39	2	842.195482671095	-699.307077580193
"RZ.L3"	"RZ"	"L3"	39	3	873.190667819345	-735.334082456965
"RZ.L3"	"RZ"	"L3"	39	4	898.932206106166	-732.195780010534
"RZ.L3"	"RZ"	"L3"	39	5	898.79471074214	-754.399480322573
"RZ.L3"	"RZ"	"L3"	39	6	880.372492644531	-782.645670669492
"RZ.L3"	"RZ"	"L3"	39	7	827.492125136973	-766.049530017798
"RZ.L3"	"RZ"	"L3"	40	1	901.17347622793	-752.947686134602
"RZ.L3"	"RZ"	"L3"	40	2	901.300601006462	-732.418699541054
"RZ.L3"	"RZ"	"L3"	40	3	931.496567358788	-726.776244689125
"RZ.L3"	"RZ"	"L3"	40	4	935.455175713806	-701.45535842151
"RZ.L3"	"RZ"	"L3"	40	5	975.544885594769	-694.353446122685
"RZ.L3"	"RZ"	"L3"	40	6	979.910702401773	-726.062230940056
"RZ.L3"	"RZ"	"L3"	40	7	1004.98047799574	-770.571923924304
"RZ.L3"	"RZ"	"L3"	40	8	941.172922653276	-801.351640363747
"RZ.L3"	"RZ"	"L3"	41	1	977.506623055737	-692.917737206863
"RZ.L3"	"RZ"	"L3"	41	2	1005.79430169836	-672.62983735481
"RZ.L3"	"RZ"	"L3"	41	3	1055.37784632771	-681.446276540433
"RZ.L3"	"RZ"	"L3"	41	4	1076.76325082796	-730.320337924285
"RZ.L3"	"RZ"	"L3"	41	5	1066.5464521654	-770.161962815231
"RZ.L3"	"RZ"	"L3"	41	6	1035.35485238431	-775.347986934898
"RZ.L3"	"RZ"	"L3"	41	7	1007.56449178243	-768.113243546655
"RZ.L3"	"RZ"	"L3"	41	8	982.09684222945	-725.087463591561
"RZ.L3"	"RZ"	"L3"	42	1	1057.70065699662	-681.201389536838
"RZ.L3"	"RZ"	"L3"	42	2	1115.33807968702	-666.782434309582
"RZ.L3"	"RZ"	"L3"	42	3	1161.36637510575	-739.570499191221
"RZ.L3"	"RZ"	"L3"	42	4	1151.16694484625	-777.604626302091
"RZ.L3"	"RZ"	"L3"	42	5	1068.86816694531	-770.222263405783
"RZ.L3"	"RZ"	"L3"	42	6	1080.2455870741	-730.569537075674
